table,pick_path_status,pick_path_readers,other_prod_readers
nfl_ai_replay_candidate_cache,used-outside-pick-path,,server/services/nfl-ai-replay.js
nfl_ai_replay_reviews,used-outside-pick-path,,server/services/nfl-ai-replay.js
nfl_ai_replay_runs,used-outside-pick-path,,server/scripts/run-nfl-ai-replay.js;server/services/nfl-ai-replay.js;server/services/nfl-evidence.js;server/services/nfl-profitability.js
nfl_alt_spread_captures,used-outside-pick-path,,server/migrations/035_alt_spread_capture.js;server/services/alt-spread-import.js
nfl_alt_spread_quotes,used-outside-pick-path,,server/migrations/035_alt_spread_capture.js;server/services/alt-spread-import.js;scripts/import-alt-spreads.mjs
nfl_auto_picks,used-in-pick-path,server/services/nfl-auto-picks.js,server/services/nfl-pick-watch.js
nfl_bet_log,used-in-pick-path,server/services/clv-core.js;server/services/nfl-sharp.js,server/services/forward-ledger.js;server/services/nfl-execution-clv.js;scripts/run-historical-leaderboard.mjs
nfl_blind_audit_retries,used-outside-pick-path,,server/services/nfl-blind-audit.js
nfl_blind_audit_runs,used-in-pick-path,server/services/nfl-candidate-findings.js,server/services/nfl-audit-overview.js;server/services/nfl-blind-audit.js;server/services/nfl-profitability.js;server/services/nfl-research-lab.js
nfl_blind_audit_week_performance,used-outside-pick-path,,server/services/nfl-blind-audit.js
nfl_blind_audit_weeks,used-outside-pick-path,,server/services/nfl-audit-overview.js;server/services/nfl-blind-audit.js;scripts/nfl-2022-2025-rebuild.mjs
nfl_blind_input_mutations,used-outside-pick-path,,server/betting/nfl/strategy/teaser-leg-rates.js;server/migrations/053_nfl_news_signals_versioning.js;server/services/nfl-blind-audit.js;scripts/_prepare-validation-db.mjs
nfl_cached_reports,used-outside-pick-path,,server/services/report-cache.js
nfl_candidate_finding_seasons,used-in-pick-path,server/services/nfl-candidate-findings.js,server/migrations/024_candidate_findings.js;server/migrations/038_research_trials.js;server/migrations/039_candidate_finding_rule_version.js
nfl_candidate_findings,used-in-pick-path,server/services/nfl-candidate-findings.js,server/migrations/024_candidate_findings.js;server/migrations/025_candidate_finding_discovery_note.js;server/migrations/038_research_trials.js;server/migrations/039_candidate_finding_rule_version.js
nfl_candidate_input_audits,used-in-pick-path,server/services/nfl-replay.js,server/migrations/048_research_trials_detail.js;scripts/backfill-historical-trial-registry.mjs;scripts/run-purged-evaluation.mjs
nfl_candidate_robustness_audits,used-outside-pick-path,,server/migrations/048_research_trials_detail.js;server/services/nfl-candidate-analysis.js;scripts/backfill-historical-trial-registry.mjs
nfl_capacity_events,used-outside-pick-path,,server/betting/nfl/strategy/t60-runner.js;server/migrations/034_t60_runner_ledger.js;server/migrations/036_t60_packet_body.js
