variant,strategy,tier,dev_n,dev_clv_pts,dev_clv_prob_pp,dev_ev_pct,dev_ev_z,dev_win_pct,dev_flat_roi_pct,y2025_n,y2025_clv_pts,y2025_clv_prob_pp,y2025_ev_pct,y2025_flat_roi_pct,kelly_2024_track_pp,kelly_2024_bets,kelly_2024_expected_growth_pct,kelly_2024_realized_growth_pct,kelly_2025_track_pp,kelly_2025_bets,kelly_2025_expected_growth_pct,kelly_2025_realized_growth_pct,dev_ev_holm_pass
best_book,spreads|tier|stack_magnitude_top25,prior_week,130,1.0346,3.6655,2.3224,2.2427,53.1746,1.2642,76,0.9539,3.4986,2.1492,-3.688,3.859,58,0.5458,-1.7534,3.6655,67,1.5321,-1.3667,False
stale_book,spreads|market|stale_book,prior_week,179,0.6536,2.2193,2.3942,0.7089,45.4023,-11.6757,95,0.3474,1.2812,-2.6945,-9.2656,2.5301,64,1.8742,-5.5789,2.2193,12,-0.0369,-1.2147,False
best_book,spreads|B|nfelo_rating,third_party_bulk,554,0.6606,2.433,0.4356,0.9458,51.4815,-1.5771,271,0.9465,3.3511,1.3747,0.9488,2.5072,202,-0.3614,-10.9913,2.433,174,1.6117,2.3526,False
best_book,spreads|B|wired_W1,prior_week,204,0.5417,1.9832,-0.6134,-0.9637,50.9901,-2.3183,200,0.86,3.1657,1.4204,-4.0414,,0,0.0,0.0,1.9832,33,0.9989,-2.3578,False
best_book,spreads|C|wired_W1,prior_week,204,0.5417,1.9832,-0.6134,-0.9637,50.9901,-2.3183,200,0.86,3.1657,1.4204,-4.0414,,0,0.0,0.0,1.9832,33,0.9989,-2.3578,False
best_book,spreads|B|kmulti_rush_epa,prior_week,554,0.5424,2.0145,-0.4763,-1.3084,51.2015,-2.0784,271,0.9557,3.3908,1.4549,1.6726,1.8398,101,-0.2377,-7.7734,2.0145,44,1.2351,3.0531,False
best_book,spreads|B|situational,prior_week,554,0.5199,1.9122,-0.6073,-1.2021,51.2059,-2.0839,271,0.9465,3.3511,1.3747,0.9488,1.6866,97,-0.1153,-7.023,1.9122,41,1.1106,2.5639,False
best_book,spreads|A|nfelo_rating,third_party_bulk,554,0.6922,2.5599,0.4695,1.0056,50.4638,-3.424,271,0.6181,2.1649,-1.2745,3.0213,2.6737,212,0.1792,-10.6449,2.5599,176,0.7709,0.6225,False
best_book,spreads|C|wired_W9,prior_week,554,0.5298,1.9528,-0.5398,-1.3384,52.1257,-0.3544,271,0.9465,3.3511,1.3747,0.9488,1.7445,101,-0.1887,-6.4696,1.9528,44,1.1381,2.5419,False
best_book,spreads|B|wired_W13,prior_week,554,0.6038,2.2295,-0.063,-0.1447,52.1336,-0.3592,271,0.9557,3.39,1.4596,-0.4601,2.2779,116,-0.4075,-10.4358,2.2295,60,1.3523,2.3645,False
best_book,spreads|C|wired_W5,in_week,554,0.5794,2.1265,-0.2988,-0.7043,52.3897,0.2052,271,0.9465,3.3511,1.3747,0.9488,2.0931,108,-0.3321,-8.6775,2.1265,48,1.2696,2.439,False
best_book,spreads|C|wired_W3,prior_week,554,0.5848,2.1476,-0.2306,-0.5567,52.1179,-0.3237,271,0.9465,3.3511,1.3747,0.9488,2.1355,108,-0.3523,-8.9497,2.1476,48,1.2853,2.4305,False
