table,source,live_rows,repo_copy_rows,extract_rows,writers
ai_usage,derived/app,,0,0,server/services/claude.js
app_settings,ESPN,,3,0,server/betting/nfl/strategy/teaser-season.js;server/routes/espn-connect.js;server/services/claude.js
audit_registry,model audit (derived),15,,0,server/services/audit-registry.js
below,no writer found in repo (legacy/unused or written by deleted code),,,,
cfbd_player_season,derived/app,,,0,server/services/cfbd.js
correlation_estimates,derived/app,,0,0,server/services/correlation.js
db_health_checks,no writer found in repo (legacy/unused or written by deleted code),,1,1,
decay_watch_runs,derived/app,,,0,server/services/decay-watch.js
decision_basis,decision tape (derived),,0,0,server/services/decision-basis.js
draft_advice,fantasy draft (app),,0,0,server/routes/drafts.js
draft_capture_events,fantasy draft (app),,,0,server/services/draft-ingest.js
draft_capture_sessions,fantasy draft (app),,,0,server/services/draft-ingest.js
draft_grades,no writer found in repo (legacy/unused or written by deleted code),,0,0,
draft_pick_corrections,fantasy draft (app),,0,0,server/services/draft-reconcile.js
draft_pick_quarantine,fantasy draft (app),,0,0,server/services/draft-reconcile.js
draft_picks,fantasy draft (app),,352,0,server/draft/store.js;server/services/draft-reconcile.js
drafts,ESPN,,6,0,server/routes/drafts.js;server/services/espn-draft.js
dynasty_values,derived/app,,396,0,server/routes/aggregates.js
espn_cache,no writer found in repo (legacy/unused or written by deleted code),,0,0,
espn_line_moves,ESPN,149,17,0,server/services/nfl-espn-line-watch.js
espn_player_market,ESPN,,,0,server/services/espn-market.js
espn_settings,no writer found in repo (legacy/unused or written by deleted code),,0,0,
evidence_capture_windows,derived/app,,726,0,server/services/evidence-daemon.js
evidence_daemon_runs,derived/app,,57,0,server/services/evidence-daemon.js
fantasy_coordinator_fits,derived/app,,2,0,server/services/fantasy-coordinator.js
forward_picks,derived/app,0,0,0,server/services/forward-ledger.js
game_lines,derived/app,15096,15096,9270,server/services/gamescript.js
gamescript_model,derived/app,,0,0,server/services/gamescript.js
leagues,ESPN,,5,0,server/routes/espn-connect.js;server/routes/leagues.js
mlb_batter_games,MLB sources,,41689,0,server/services/mlb.js
mlb_boxscore_sync,MLB sources,,15,0,server/services/mlb.js
mlb_first_party_picks,MLB sources,,5,0,server/services/mlb-auto-picks.js
mlb_games,MLB sources,,2430,0,server/services/mlb.js
