read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T06:55:48Z	000	25.000774				60
2026-09-20T06:56:48Z	200	0.390411	18	2026-09-20T06:56:30Z	ok	60
2026-09-20T06:57:48Z	200	0.409631	79	2026-09-20T06:56:30Z	ok	60
2026-09-20T06:58:48Z	000	25.000962				60
2026-09-20T06:59:48Z	200	0.319213	17	2026-09-20T06:59:31Z	ok	60
2026-09-20T07:00:48Z	200	0.349592	78	2026-09-20T06:59:31Z	ok	60
2026-09-20T07:01:48Z	000	25.002074				60
2026-09-20T07:02:48Z	200	0.337715	18	2026-09-20T07:02:30Z	ok	60
2026-09-20T07:03:48Z	200	0.344913	78	2026-09-20T07:02:31Z	ok	60
2026-09-20T07:04:48Z	000	25.001920				60
2026-09-20T07:05:48Z	200	0.327001	17	2026-09-20T07:05:31Z	ok	60
2026-09-20T07:06:48Z	200	0.553487	78	2026-09-20T07:05:31Z	ok	60
2026-09-20T07:07:48Z	000	25.000722				60
2026-09-20T07:08:48Z	200	0.361856	18	2026-09-20T07:08:30Z	ok	60
2026-09-20T07:09:48Z	200	0.352342	79	2026-09-20T07:08:30Z	ok	60
2026-09-20T07:10:48Z	000	25.001016				60
2026-09-20T07:11:48Z	200	0.368373	18	2026-09-20T07:11:30Z	ok	60
2026-09-20T07:12:48Z	200	0.461458	79	2026-09-20T07:11:30Z	ok	60
2026-09-20T07:13:48Z	000	25.001502				60
2026-09-20T07:14:48Z	200	3.481517	21	2026-09-20T07:14:31Z	ok	60
2026-09-20T07:15:48Z	200	0.371127	77	2026-09-20T07:14:31Z	ok	60
2026-09-20T07:16:48Z	000	25.000892				60
2026-09-20T07:17:48Z	200	0.312827	19	2026-09-20T07:17:29Z	ok	60
2026-09-20T07:18:48Z	200	0.384804	78	2026-09-20T07:17:30Z	ok	60
2026-09-20T07:19:48Z	000	25.001197				60
2026-09-20T07:20:48Z	200	0.281993	19	2026-09-20T07:20:29Z	ok	60
2026-09-20T07:21:48Z	200	0.422854	79	2026-09-20T07:20:30Z	ok	60
2026-09-20T07:22:48Z	000	25.001383				60
2026-09-20T07:23:48Z	200	0.344417	18	2026-09-20T07:23:30Z	ok	60
2026-09-20T07:24:48Z	200	0.455576	77	2026-09-20T07:23:31Z	ok	60
2026-09-20T07:25:48Z	000	25.001535				60
2026-09-20T07:26:48Z	200	0.365541	18	2026-09-20T07:26:31Z	ok	60
2026-09-20T07:27:48Z	200	0.343505	77	2026-09-20T07:26:31Z	ok	60
2026-09-20T07:28:48Z	000	25.001433				60
