read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-19T22:22:50Z	000	25.000863				300
2026-09-19T22:28:15Z	200	23.379976	65	2026-09-19T22:27:34Z	ok	300
2026-09-19T22:33:39Z	200	0.346375	22	2026-09-19T22:33:17Z	ok	300
2026-09-19T22:38:39Z	000	25.002694				300
2026-09-19T22:44:04Z	200	15.624438	12	2026-09-19T22:44:08Z	crossed	300
2026-09-19T22:49:20Z	200	23.301667	19	2026-09-19T22:49:24Z	crossed	300
2026-09-19T22:51:12Z	000	25.002134				300
2026-09-19T22:53:06Z	200	17.417841	13	2026-09-19T22:53:10Z	crossed	60
2026-09-19T22:54:06Z	200	0.354525	57	2026-09-19T22:53:10Z	ok	60
2026-09-19T22:55:22Z	000	25.002082				60
2026-09-19T22:56:22Z	200	17.237683	13	2026-09-19T22:56:26Z	crossed	60
2026-09-19T22:57:22Z	000	25.001967				60
2026-09-19T22:58:22Z	000	25.001987				60
2026-09-19T22:59:22Z	200	21.574103	17	2026-09-19T22:59:27Z	crossed	60
2026-09-19T23:00:22Z	200	0.350209	56	2026-09-19T22:59:26Z	ok	60
2026-09-19T23:01:22Z	000	25.001456				60
2026-09-19T23:02:22Z	200	20.168599	17	2026-09-19T23:02:26Z	crossed	60
2026-09-19T23:03:22Z	000	25.002547				60
2026-09-19T23:04:22Z	000	25.002404				60
2026-09-19T23:05:22Z	200	17.789847	14	2026-09-19T23:05:26Z	crossed	60
2026-09-19T23:06:22Z	200	0.360780	56	2026-09-19T23:05:26Z	ok	60
2026-09-19T23:07:22Z	000	25.002254				60
2026-09-19T23:08:22Z	200	16.186032	12	2026-09-19T23:08:26Z	crossed	60
2026-09-19T23:09:22Z	200	11.514154	67	2026-09-19T23:08:27Z	ok	60
2026-09-19T23:10:22Z	000	25.002525				60
2026-09-19T23:11:22Z	200	16.180926	12	2026-09-19T23:11:26Z	crossed	60
2026-09-19T23:12:22Z	200	0.369037	57	2026-09-19T23:11:26Z	ok	60
2026-09-19T23:13:22Z	000	25.002370				60
2026-09-19T23:14:22Z	200	23.584177	19	2026-09-19T23:14:27Z	crossed	60
2026-09-19T23:15:22Z	200	13.469283	69	2026-09-19T23:14:26Z	ok	60
2026-09-19T23:16:22Z	000	25.002447				60
2026-09-19T23:17:22Z	200	15.797322	12	2026-09-19T23:17:26Z	crossed	60
2026-09-19T23:18:22Z	200	0.372361	56	2026-09-19T23:17:27Z	ok	60
2026-09-19T23:19:22Z	000	25.002442				60
2026-09-19T23:20:22Z	200	12.977414	10	2026-09-19T23:20:25Z	crossed	60
2026-09-19T23:21:22Z	200	9.703036	67	2026-09-19T23:20:24Z	ok	60
2026-09-19T23:22:22Z	000	25.001762				60
2026-09-19T23:23:22Z	200	14.868498	12	2026-09-19T23:23:25Z	crossed	60
2026-09-19T23:24:22Z	200	0.338785	58	2026-09-19T23:23:24Z	ok	60
2026-09-19T23:25:22Z	000	25.002707				60
2026-09-19T23:26:22Z	200	22.204516	20	2026-09-19T23:26:24Z	crossed	60
2026-09-19T23:27:22Z	200	13.830657	72	2026-09-19T23:26:24Z	ok	60
2026-09-19T23:28:22Z	000	25.001283				60
2026-09-19T23:29:22Z	200	17.499301	14	2026-09-19T23:29:26Z	crossed	60
2026-09-19T23:30:22Z	200	0.355721	56	2026-09-19T23:29:26Z	ok	60
2026-09-19T23:31:22Z	000	25.000866				60
2026-09-19T23:32:22Z	200	23.574965	19	2026-09-19T23:32:27Z	crossed	60
2026-09-19T23:33:22Z	000	25.002414				60
2026-09-19T23:34:22Z	000	25.001287				60
2026-09-19T23:35:22Z	200	18.436935	16	2026-09-19T23:35:25Z	crossed	60
2026-09-19T23:36:22Z	200	0.355063	57	2026-09-19T23:35:25Z	ok	60
2026-09-19T23:37:22Z	000	25.002224				60
2026-09-19T23:38:22Z	200	16.938647	14	2026-09-19T23:38:25Z	crossed	60
2026-09-19T23:39:22Z	200	5.742886	63	2026-09-19T23:38:25Z	ok	60
2026-09-19T23:40:22Z	000	25.002579				60
2026-09-19T23:41:22Z	200	23.572094	19	2026-09-19T23:41:27Z	crossed	60
2026-09-19T23:42:22Z	200	0.340124	56	2026-09-19T23:41:26Z	ok	60
2026-09-19T23:43:22Z	000	25.002528				60
2026-09-19T23:44:22Z	200	21.827511	18	2026-09-19T23:44:26Z	crossed	60
2026-09-19T23:45:22Z	000	25.002176				60
2026-09-19T23:46:22Z	000	25.002077				60
2026-09-19T23:47:22Z	200	20.467231	17	2026-09-19T23:47:25Z	crossed	60
2026-09-19T23:48:22Z	200	0.354953	56	2026-09-19T23:47:26Z	ok	60
2026-09-19T23:49:22Z	000	25.001974				60
2026-09-19T23:50:22Z	200	22.627405	18	2026-09-19T23:50:27Z	crossed	60
2026-09-19T23:51:22Z	000	25.002606				60
2026-09-19T23:52:22Z	000	25.002410				60
2026-09-19T23:53:22Z	200	17.551454	14	2026-09-19T23:53:25Z	crossed	60
2026-09-19T23:54:22Z	200	0.422595	57	2026-09-19T23:53:26Z	ok	60
2026-09-19T23:55:22Z	000	25.001954				60
2026-09-19T23:56:22Z	200	16.003531	12	2026-09-19T23:56:26Z	crossed	60
2026-09-19T23:57:22Z	200	9.786978	66	2026-09-19T23:56:26Z	ok	60
2026-09-19T23:58:22Z	000	25.002071				60
2026-09-19T23:59:22Z	200	13.431731	10	2026-09-19T23:59:25Z	crossed	60
